symbol,sector,market_cap
BAJAJHLDNG.NS,Financial Services,117303
BAJAJINDEF.NS,Industrials,950
BAJAJST.NS,,0
BAJEL.NS,Utilities,2169
BAJFINANCE.NS,Financial Services,595796
BALAJEE.NS,Consumer Cyclical,268
BALAJITELE.NS,Communication Services,1294
BALAMINES.NS,Basic Materials,4737
BALAXI.NS,Healthcare,149
BALKRISHNA.NS,Consumer Cyclical,59
BALKRISIND.NS,Consumer Cyclical,42670
BALMLAWRIE.NS,Industrials,3276
BALPHARMA.NS,Healthcare,121
BALRAMCHIN.NS,Consumer Defensive,10583
BALUFORGE.NS,Industrials,6782
BANARBEADS.NS,Consumer Cyclical,74
BANARISUG.NS,Consumer Defensive,4553
BANCOINDIA.NS,Consumer Cyclical,8982
BANDHANBNK.NS,Financial Services,33750
BANG.NS,Consumer Cyclical,52
BANKA.NS,Industrials,89
BANKBARODA.NS,Financial Services,139523
BANKINDIA.NS,Financial Services,64338
BANSALWIRE.NS,Basic Materials,4517
BANSWRAS.NS,Consumer Cyclical,408
BASF.NS,Basic Materials,16146
BASML.NS,Consumer Cyclical,202
BATAINDIA.NS,Consumer Cyclical,9347
BATLIBOI.NS,Industrials,0
BAYERCROP.NS,Basic Materials,21397
BBL.NS,Industrials,3534
BBOX.NS,Technology,12014
BBTC.NS,Consumer Defensive,10834
BBTCL.NS,Consumer Cyclical,423
BCG.NS,Communication Services,1933
BCLIND.NS,Consumer Defensive,1097
BCONCEPTS.NS,Consumer Cyclical,300
BCPL.NS,Industrials,149
BDL.NS,Industrials,50691
BEARDSELL.NS,Industrials,102
BECTORFOOD.NS,Consumer Defensive,6099
BEDMUTHA.NS,Basic Materials,348
BEEKAY.NS,,0
BEL.NS,Industrials,318048
BELLACASA.NS,Consumer Cyclical,360
BELRISE.NS,Consumer Cyclical,19043
BEML.NS,Industrials,15020
BENGALASM.NS,,0
BEPL.NS,Basic Materials,2438
BERGEPAINT.NS,Basic Materials,55460
BESTAGRO.NS,Basic Materials,630
BETA.NS,Healthcare,1338
BFINVEST.NS,Financial Services,1604
BFUTILITIE.NS,Industrials,2102
BGLOBAL.NS,Technology,5
BGRENERGY.NS,Industrials,2116
BHAGCHEM.NS,Basic Materials,3382
BHAGERIA.NS,Basic Materials,750
BHAGYANGR.NS,Basic Materials,876
BHANDARI.NS,Consumer Cyclical,106
BHARATCOAL.NS,Basic Materials,0
BHARATFORG.NS,Consumer Cyclical,90903
BHARATGEAR.NS,Consumer Cyclical,167
BHARATRAS.NS,Basic Materials,2316
BHARATSE.NS,Consumer Cyclical,1213
BHARATWIRE.NS,Basic Materials,1554
BHARTIARTL.NS,Communication Services,1132770
BHARTIHEXA.NS,Communication Services,75434
BHEL.NS,Industrials,126259
BI.NS,,0
BIGBLOC.NS,Industrials,691
BIKAJI.NS,Consumer Defensive,17175
BIL.NS,Consumer Cyclical,1037
BILVYAPAR.NS,Basic Materials,16
BIMETAL.NS,Consumer Cyclical,0
BIOCON.NS,Healthcare,59202
BIOFILCHEM.NS,Healthcare,54
BIRLACABLE.NS,Technology,472
BIRLACORPN.NS,Basic Materials,7402
BIRLAMONEY.NS,Financial Services,831
BIRLANU.NS,Industrials,1061
BIRLAPREC.NS,,0
BLACKBUCK.NS,Technology,10307
BLACKROSE.NS,,0
BLAL.NS,Financial Services,799
BLBLIMITED.NS,Financial Services,92
BLIL.NS,,0
BLISSGVS.NS,Healthcare,2903
BLKASHYAP.NS,Industrials,1324
BLS.NS,Industrials,11531
BLSE.NS,Industrials,1787
BLUECHIP.NS,Financial Services,10
BLUECOAST.NS,Consumer Cyclical,54
BLUEDART.NS,Industrials,13536
BLUEJET.NS,Healthcare,8239
BLUESTARCO.NS,Industrials,36934
BLUESTONE.NS,Consumer Cyclical,7805
BLUSPRING.NS,Industrials,965
BMWVENTLTD.NS,Basic Materials,560
BNAGROCHEM.NS,,0
BNALTD.NS,,0
BODALCHEM.NS,Basic Materials,848
BOHRAIND.NS,Basic Materials,19
BOMDYEING.NS,Consumer Cyclical,2735
BONLON.NS,Basic Materials,83
BORANA.NS,Consumer Cyclical,910
BOROLTD.NS,Consumer Cyclical,3002
BORORENEW.NS,Technology,7272
BOROSCI.NS,Consumer Cyclical,1040
BOSCH-HCIL.NS,Consumer Cyclical,3812
BOSCHLTD.NS,Consumer Cyclical,106486
BPCL.NS,Energy,131847
BPL.NS,Technology,277
BRIGADE.NS,Real Estate,19492
BRIGHOTEL.NS,Consumer Cyclical,2546
BRITANNIA.NS,Consumer Defensive,140113
BRNL.NS,Industrials,176
BROOKS.NS,Healthcare,169
BSE.NS,Financial Services,151059
BSHSL.NS,Basic Materials,1044
BSL.NS,Consumer Cyclical,131
BSOFT.NS,Technology,10238
BTML.NS,Communication Services,118
BTTL.NS,Consumer Cyclical,0
BUILDPRO.NS,Consumer Cyclical,2673
BUTTERFLY.NS,Consumer Cyclical,1081
BVCL.NS,Basic Materials,100
BYKE.NS,Consumer Cyclical,186
CALSOFT.NS,Technology,106
CAMLINFINE.NS,Basic Materials,2531
CAMPUS.NS,Consumer Cyclical,7637
CAMS.NS,Technology,18385
CANBK.NS,Financial Services,124286
CANFINHOME.NS,Financial Services,11886
CANHLIFE.NS,Financial Services,13545
CANTABIL.NS,Consumer Cyclical,2065
CAPACITE.NS,Industrials,2156
CAPILLARY.NS,Technology,4340
CAPITALSFB.NS,Financial Services,1260
CAPLIPOINT.NS,Healthcare,13394
CAPTRUST.NS,Financial Services,45
CARBORUNIV.NS,Industrials,18668
CARERATING.NS,Financial Services,5105
CARRARO.NS,Consumer Cyclical,3267
CARTRADE.NS,Consumer Cyclical,7997
CARYSIL.NS,Consumer Cyclical,2597
CASTROLIND.NS,Energy,18433
CCAVENUE.NS,Technology,4880
CCCL.NS,Industrials,722
CCHHL.NS,Consumer Cyclical,225
CCL.NS,Consumer Defensive,15448
CDSL.NS,Financial Services,25993
CEATLTD.NS,Consumer Cyclical,13403
CEIGALL.NS,Industrials,5833
CEINSYS.NS,Industrials,2244
CELEBRITY.NS,Consumer Cyclical,51
CELLO.NS,Consumer Cyclical,9249
CEMPRO.NS,Industrials,14608
CENTENKA.NS,Consumer Cyclical,935
CENTEXT.NS,Basic Materials,171
CENTRALBK.NS,Financial Services,32322
CENTRUM.NS,Financial Services,1270
CENTUM.NS,Technology,4180
CENTURYPLY.NS,Basic Materials,18052
CERA.NS,Industrials,6846
CEREBRAINT.NS,Industrials,51
CESC.NS,Utilities,26584
CEWATER.NS,Utilities,649
CGCL.NS,Financial Services,18226
CGPOWER.NS,Industrials,128475
CHALET.NS,Consumer Cyclical,16561
CHAMBLFERT.NS,Basic Materials,17831
CHEMBOND.NS,Basic Materials,205
CHEMBONDCH.NS,Basic Materials,430
CHEMCON.NS,Basic Materials,598
CHEMFAB.NS,Basic Materials,592
CHEMPLASTS.NS,Basic Materials,3697
CHENNPETRO.NS,Energy,16724
CHEVIOT.NS,Consumer Cyclical,709
CHOICEIN.NS,Financial Services,15048
CHOLAFIN.NS,Financial Services,138144
CHOLAHLDNG.NS,Financial Services,31837
CIEINDIA.NS,Consumer Cyclical,18228
CIFL.NS,Financial Services,1101
CIGNITITEC.NS,Technology,3192
CINELINE.NS,Communication Services,294
CINEVISTA.NS,Communication Services,87
CIPLA.NS,Healthcare,107338
CLCIND.NS,Consumer Cyclical,0
CLEAN.NS,Basic Materials,8825
CLEANMAX.NS,Utilities,13547
CLEDUCATE.NS,Consumer Defensive,246
CLSEL.NS,Consumer Defensive,1408
CMICABLES.NS,Industrials,5
CMPDI.NS,Basic Materials,0
CMSINFO.NS,Industrials,4816
CNL.NS,Technology,923
COALINDIA.NS,Energy,297474
COASTCORP.NS,Consumer Defensive,387
COCHINSHIP.NS,Industrials,45568
COCKERILL.NS,Industrials,0
COFFEEDAY.NS,Consumer Cyclical,559
COFORGE.NS,Technology,39344
COHANCE.NS,Healthcare,18401
COLPAL.NS,Consumer Defensive,58952
COMFINTE.NS,,0
COMPINFO.NS,Technology,11
COMPUSOFT.NS,Consumer Defensive,110
COMSYN.NS,Consumer Cyclical,621
CONCOR.NS,Industrials,39459
CONCORDBIO.NS,Healthcare,12574
CONFIPET.NS,Energy,1879
CONSOFINVT.NS,Financial Services,743
CONTROLPR.NS,Industrials,1065
CORALFINAC.NS,Real Estate,142
CORDSCABLE.NS,Industrials,241
COROMANDEL.NS,Basic Materials,59553
CORONA.NS,Healthcare,0
COSMOFIRST.NS,Consumer Cyclical,1882
COUNCODOS.NS,Real Estate,40
CPCAP.NS,Financial Services,177
CPEDU.NS,Consumer Defensive,365
CPPLUS.NS,Industrials,28554
CRAFTSMAN.NS,Consumer Cyclical,18540
CRAMC.NS,Financial Services,4950
CREATIVEYE.NS,Communication Services,14
CREDITACC.NS,Financial Services,21298
CREST.NS,Financial Services,1047
CRISIL.NS,Financial Services,31126
CRIZAC.NS,Consumer Defensive,3729
CROMPTON.NS,Consumer Cyclical,17869
CROWN.NS,Industrials,161
CSBBANK.NS,Financial Services,6583
CSLFINANCE.NS,Financial Services,517
CTE.NS,Technology,66
CUB.NS,Financial Services,20375
CUBEXTUB.NS,Basic Materials,143
CUMMINSIND.NS,Industrials,147539
CUPID.NS,Consumer Defensive,16940
CURAA.NS,Technology,92
CYBERMEDIA.NS,Communication Services,33
CYBERTECH.NS,Technology,398
CYIENT.NS,Industrials,9594
CYIENTDLM.NS,Technology,3153
DABUR.NS,Consumer Defensive,79709
DAICHI.NS,,0
DALBHARAT.NS,Basic Materials,37504
DALMIASUG.NS,Consumer Defensive,3249
DAMCAPITAL.NS,Financial Services,1098
DAMODARIND.NS,Consumer Cyclical,74
DANGEE.NS,Consumer Cyclical,54
DATAMATICS.NS,Technology,4343
DATAPATTNS.NS,Industrials,22609
DAVANGERE.NS,Consumer Defensive,521
DBCORP.NS,Communication Services,3965
DBEIL.NS,Industrials,403
DBL.NS,Industrials,7784
DBOL.NS,Consumer Defensive,843
DBREALTY.NS,Real Estate,6741
DBSTOCKBRO.NS,Financial Services,97
DCAL.NS,Healthcare,2936
DCBBANK.NS,Financial Services,6073
DCI.NS,Technology,467
DCM.NS,Industrials,152
DCMFINSERV.NS,Financial Services,10
DCMNVL.NS,Consumer Cyclical,291
DCMSHRIRAM.NS,Industrials,19392
DCMSIL.NS,Industrials,598
DCMSRIND.NS,Consumer Defensive,418
DCW.NS,Basic Materials,1687
DCXINDIA.NS,Industrials,2268
DDEVPLSTIK.NS,Basic Materials,2605
DECCANCE.NS,Basic Materials,933
DECNGOLD.NS,,0
DEEDEV.NS,Industrials,3032
DEEPAKFERT.NS,Basic Materials,16121
DEEPAKNTR.NS,Basic Materials,23706
DEEPINDS.NS,Energy,3066
DELHIVERY.NS,Industrials,35083
DELPHIFX.NS,Financial Services,277
DELTACORP.NS,Consumer Cyclical,1926
DELTAMAGNT.NS,Consumer Cyclical,68
DEN.NS,Communication Services,1329
DENORA.NS,Industrials,453
DENTA.NS,Industrials,758
DEVIT.NS,Technology,180
DEVX.NS,Real Estate,383
DEVYANI.NS,Consumer Cyclical,15157
DGCONTENT.NS,Communication Services,188
DHAMPURSUG.NS,Consumer Defensive,1001
DHANBANK.NS,Financial Services,1202
DHANUKA.NS,Basic Materials,4985
DHARAN.NS,Real Estate,73
DHARMAJ.NS,Basic Materials,889
DHRUV.NS,Industrials,68
DHUNINV.NS,Financial Services,574
DIACABS.NS,Industrials,8580
DIAMINESQ.NS,Basic Materials,274
DIAMONDYD.NS,Consumer Defensive,2378
DICIND.NS,Basic Materials,500
DIFFNKG.NS,Industrials,1142
DIGIDRIVE.NS,Consumer Cyclical,92
DIGISPICE.NS,Financial Services,498
DIGITIDE.NS,Industrials,1462
DIGJAMLMTD.NS,Consumer Cyclical,93
DIL.NS,Industrials,16
DISAQ.NS,,0
DISHTV.NS,Communication Services,721
DIVGIITTS.NS,Consumer Cyclical,2195
DIVISLAB.NS,Healthcare,175010
DIXON.NS,Technology,68344
DJML.NS,Industrials,306
DLF.NS,Real Estate,150276
DLINKINDIA.NS,Technology,1611
DMART.NS,Consumer Defensive,289001
DMCC.NS,Basic Materials,708
DNAMEDIA.NS,Communication Services,36
DODLA.NS,Consumer Defensive,6629
DOLATALGO.NS,Financial Services,1379
DOLLAR.NS,Consumer Cyclical,1760
DOLPHIN.NS,Energy,1654
DOMS.NS,Industrials,14222
DONEAR.NS,Consumer Cyclical,483
DPABHUSHAN.NS,Consumer Cyclical,2373
DPSCLTD.NS,Utilities,998
DPWIRES.NS,Industrials,279
DRAGARWQ.NS,,0
DRCSYSTEMS.NS,Technology,221
DREAMFOLKS.NS,Industrials,436
DREDGECORP.NS,Industrials,2731
DRREDDY.NS,Healthcare,108728
DSFCL.NS,Basic Materials,238
DSSL.NS,Technology,1449
DTIL.NS,Consumer Defensive,152
DUCON.NS,Industrials,107
DVL.NS,Financial Services,873
DWARKESH.NS,Consumer Defensive,886
DYCL.NS,Industrials,1885
DYNAMATECH.NS,Consumer Cyclical,7963
DYNPRO.NS,Basic Materials,282
E2E.NS,Technology,5673
EASEMYTRIP.NS,Consumer Cyclical,2880
EASTSILK.NS,Consumer Cyclical,29
EBGNG.NS,Technology,5155
ECLERX.NS,Technology,13203
ECOSMOBLTY.NS,Industrials,840
EDELWEISS.NS,Financial Services,11107
EDUCOMP.NS,Consumer Defensive,11
EFCIL.NS,Real Estate,2535
EICHERMOT.NS,Consumer Cyclical,198301
EIDPARRY.NS,Basic Materials,15214
EIEL.NS,Industrials,3748
EIFFL.NS,Consumer Defensive,610
EIHAHOTELS.NS,Consumer Cyclical,2035
EIHOTEL.NS,Consumer Cyclical,20490
EIMCOELECO.NS,Industrials,913
EKC.NS,Industrials,1363
ELANTAS.NS,Basic Materials,0
ELCIDIN.NS,,0
ELDEHSG.NS,Real Estate,798
ELECON.NS,Industrials,11488
ELECTCAST.NS,Industrials,5236
ELECTHERM.NS,Basic Materials,1047
ELGIEQUIP.NS,Industrials,17508
ELGIRUBCO.NS,Consumer Cyclical,267
ELIN.NS,Industrials,606
ELITECON.NS,,0
ELLEN.NS,Basic Materials,3875
ELPROINTL.NS,Unknown,2036
EMAMILTD.NS,Consumer Defensive,20111
EMAMIPAP.NS,Basic Materials,499
EMAMIREAL.NS,Real Estate,493
EMBDL.NS,Real Estate,6754
EMCURE.NS,Healthcare,33303
EMIL.NS,Consumer Cyclical,4717
EMKAY.NS,Financial Services,602
EMMBI.NS,Consumer Cyclical,164
EMMVEE.NS,Technology,17980
EMPOWER.NS,,0
EMSLIMITED.NS,Industrials,1921
EMUDHRA.NS,Technology,4090
ENDURANCE.NS,Consumer Cyclical,33491
ENERGYDEV.NS,Utilities,80
ENGINERSIN.NS,Industrials,14306
ENIL.NS,Communication Services,561
ENRIN.NS,Utilities,116974
ENTERO.NS,Healthcare,5434
EPACK.NS,Consumer Cyclical,2696
