symbol,price,market_cap,sector
BALRAMCHIN.NS,523.0,10562,Consumer Defensive
BALUFORGE.NS,544.0,6606,Industrials
BANARBEADS.NS,114.7,76,Consumer Cyclical
BANARISUG.NS,3711.1,4653,Consumer Defensive
BANCOINDIA.NS,613.8,8779,Consumer Cyclical
BANDHANBNK.NS,201.0,32380,Financial Services
BANG.NS,38.8,52,Consumer Cyclical
BANKA.NS,82.19,89,Industrials
BANKBARODA.NS,264.1,136575,Financial Services
BANKINDIA.NS,139.94,63710,Financial Services
BANSALWIRE.NS,298.9,4679,Basic Materials
BANSWRAS.NS,118.75,406,Consumer Cyclical
BASF.NS,3648.0,15790,Basic Materials
BASML.NS,24.51,195,Consumer Cyclical
BATAINDIA.NS,719.6,9248,Consumer Cyclical
BATLIBOI.NS,82.25,0,Industrials
BAYERCROP.NS,4798.0,21563,Basic Materials
BBL.NS,3122.0,3528,Industrials
BBOX.NS,642.3,11400,Technology
BBTC.NS,1498.5,10455,Consumer Defensive
BBTCL.NS,191.02,391,Consumer Cyclical
BCLIND.NS,35.94,1060,Consumer Defensive
BCONCEPTS.NS,240.0,299,Consumer Cyclical
BCPL.NS,84.95,142,Industrials
BDL.NS,1372.0,50292,Industrials
BEARDSELL.NS,25.96,102,Industrials
BECTORFOOD.NS,195.7,6007,Consumer Defensive
BEDMUTHA.NS,110.71,357,Basic Materials
BEEKAY.NS,435.0,0,
BEL.NS,431.8,315636,Industrials
BELLACASA.NS,257.0,344,Consumer Cyclical
BELRISE.NS,213.47,18996,Consumer Cyclical
BEML.NS,1794.9,14949,Industrials
BENGALASM.NS,6156.6,0,
BEPL.NS,96.0,2389,Basic Materials
BERGEPAINT.NS,471.0,54918,Basic Materials
BETA.NS,1320.0,1332,Healthcare
BFINVEST.NS,418.95,1578,Financial Services
BFUTILITIE.NS,555.0,2090,Industrials
BGRENERGY.NS,280.87,2026,Industrials
BHAGCHEM.NS,262.2,3399,Basic Materials
BHAGERIA.NS,172.5,752,Basic Materials
BHAGYANGR.NS,269.5,862,Basic Materials
BHARATCOAL.NS,33.43,0,Basic Materials
BHARATFORG.NS,1890.0,90358,Consumer Cyclical
BHARATGEAR.NS,106.95,164,Consumer Cyclical
BHARATRAS.NS,1388.0,2307,Basic Materials
BHARATSE.NS,188.0,1180,Consumer Cyclical
BHARATWIRE.NS,220.1,1510,Basic Materials
BHARTIARTL.NS,1891.0,1151897,Communication Services
BHARTIHEXA.NS,1517.0,75850,Communication Services
BHEL.NS,352.4,122707,Industrials
BI.NS,60.5,0,
BIGBLOC.NS,48.04,680,Industrials
BIKAJI.NS,675.0,16924,Consumer Defensive
BIL.NS,769.95,1032,Consumer Cyclical
BIMETAL.NS,603.0,0,Consumer Cyclical
BIOCON.NS,358.65,58077,Healthcare
BIOFILCHEM.NS,33.99,55,Healthcare
BIRLACABLE.NS,155.64,466,Technology
BIRLACORPN.NS,918.0,7069,Basic Materials
BIRLAMONEY.NS,147.0,830,Financial Services
BIRLANU.NS,1356.1,1022,Industrials
